college_name,Department Name,Course Name,Professor,Class Time
공과대학,건설환경공학부,"서양건축사
History of Western Architecture",이현정,"목09:00-10:15【21514】,목10:30-11:45【21514】"
공과대학,건설환경공학부,"건축법규
Building Code and Regulation",신중진,"화09:00-10:15【27511】,화10:30-11:45【27511】"
공과대학,건설환경공학부,"동양건축사
History of East Asian Architecture",우성훈,"월18:00-19:15【22319】,월19:30-20:45【22319】"
공과대학,건설환경공학부,"건축설비
Building Environmental Control ",심지수,"화09:00-10:15【23219】,화10:30-11:45【23219】"
공과대학,건설환경공학부,"건축설계현장실습2A
Practical Training 2A of Architectural Design",이중원,미지정
공과대학,건설환경공학부,"건축설계현장실습2B
Practical Training 2B of Architectural Design",이중원,미지정
공과대학,건설환경공학부,"현대건축론2
Contemporary Architecture 2",이중원,"월09:00-10:15【22402】,월10:30-11:45【22402】"
공과대학,건설환경공학부,"구조역학
Structural Analysis",이정윤,"화13:30-14:45【22319】,목12:00-13:15【22319】"
공과대학,건설환경공학부,"건축환경공학2
Building Environmental Engineering II ",송두삼,"월09:00-10:15【26223】,수10:30-11:45【26223】"
공과대학,건설환경공학부,"건축공학설계1
Architectural Engineering Design I",진상윤,"화18:00-18:50【22402】,화19:00-19:50【22402】,화20:00-20:50【22402】,목18:00-18:50【22402】,목19:00-19:50【22402】,목20:00-20:50【22402】"
공과대학,건설환경공학부,"건축시공및재료2
Building Construction Methods & Materials II ",권순욱,"화09:00-10:15【26110】,화10:30-11:45【26110】"
공과대학,건설환경공학부,"건설관리
Construction Project Management",김예상,"화10:30-11:45【26307】,목09:00-10:15【26307】"
공과대학,건설환경공학부,"건축공학설계1
Architectural Engineering Design I",윤성민,"화18:00-18:50【26223】,화19:00-19:50【26223】,화20:00-20:50【26223】,목18:00-18:50【26223】,목19:00-19:50【26223】,목20:00-20:50【26223】"
공과대학,건설환경공학부,"수리학
Hydraulics",전경수,"월12:00-13:15【26512】,수13:30-14:45【26512】"
공과대학,건설환경공학부,"기초유체역학
Elementary Fluid Mechanics",이정열,"월13:30-14:45【26512】,수12:00-13:15【26512】"
공과대학,건설환경공학부,"디지털가상설계
Digital Virual Design",이광명,"화12:00-13:15【26512】,목13:30-14:45【26512】"
공과대학,건설환경공학부,"응용토질역학
Advanced Soil Mechanics",김낙경,"월09:00-10:15【26217A】,수10:30-11:45【26217A】"
공과대학,건설환경공학부,"응용측량정보학
Advanced Surveying and Practive",윤홍식,"월15:00-15:50【26305】,월16:00-16:50【26305】,월17:00-17:50【26305】,금15:00-15:50【26305】,금16:00-16:50【26305】,금17:00-17:50【26305】"
공과대학,건설환경공학부,"환경토양학
Environmental Soil Science",하유미,"화12:00-13:15【61301A】,목13:30-14:45【61301A】"
공과대학,건설환경공학부,"동아시아조경문화사
Cultural History of East-Asia Landscape Architecture",김묘정,"화09:00-10:15【61301A】,화10:30-11:45【61301A】"
공과대학,건설환경공학부,"공학확률
Probability in Engineering ",심성한,"화16:30-17:45【26305】,목15:00-16:15【26305】"
공과대학,건설환경공학부,"정원설계
Garden Design Studio",최재혁,"금15:00-16:15【61301A】,금16:30-17:45【61301A】"
공과대학,건설환경공학부,"철근콘크리트구조2
Reinforced Concrete Structures II",김진구,"월13:30-14:45【26305】,수12:00-13:15【26305】"
공과대학,건설환경공학부,"건설재료및실습
Laboratory Tests of Constrution Materials ",이광명,"화15:00-15:50【26512】,화16:00-16:50【26512】,화17:00-17:50【26512】,목15:00-15:50【26512】,목16:00-16:50【26512】,목17:00-17:50【26512】"
공과대학,건설환경공학부,"건축공학설계2
Architectural Engineering Design II",김진구,"월15:00-15:50【미지정】,월16:00-16:50【미지정】,월17:00-17:50【미지정】,수15:00-15:50【22402】,수16:00-16:50【22402】,수17:00-17:50【22402】"
공과대학,건설환경공학부,"건축공학설계2
Architectural Engineering Design II",이송우,"월18:00-18:50【22402】,월19:00-19:50【22402】,월20:00-20:50【22402】,수18:00-18:50【22402】,수19:00-19:50【22402】,수20:00-20:50【22402】"
공과대학,건설환경공학부,"IndividualStudy2
IndividualStudy2",송두삼,미지정
공과대학,건설환경공학부,"건축공학현장실습1B
Practical Training 1B of Architectural Engineering ",심성한,미지정
공과대학,건설환경공학부,"첨단건설IT
Advanced Information Technology in the Construction Industry",진상윤,"수09:00-10:15【22402】,수10:30-11:45【22402】"
공과대학,건설환경공학부,"환경수리학
Environmental Hydraulics",이정열,"월16:30-17:45【26512】,수15:00-16:15【26512】"
공과대학,건설환경공학부,"지형공간정보학
Geo-Informatics ",윤홍식,"화15:00-16:15【26307】,목16:30-17:45【26307】"
공과대학,건설환경공학부,"건축공학현장실습2B 
Field Practice 2B in Architectural Engineering ",심성한,미지정
공과대학,건설환경공학부,"건축공학현장실습3B 
Practical Training 3B of Architectural Engineering ",심성한,미지정
공과대학,건설환경공학부,"에너지자원순환공학
Energy recycle Engineering",염익태,"월12:00-13:15【26305】,수13:30-14:45【26305】"
공과대학,건설환경공학부,"글로벌환경원격탐사
Remote Sensing of Global  Environment",최민하,"화09:00-09:50【26217A】,화10:00-10:50【26217A】,화11:00-11:50【26217A】,금15:00-15:50【22402】,금16:00-16:50【22402】,금17:00-17:50【22402】"
공과대학,건설환경공학부,"건설환경현장실습1B
Co-operative Training in Construction and Environmental Engineering 1B",이제찬,미지정
공과대학,건설환경공학부,"건설환경현장실습2B
Co-operative Training in Construction and Environmental Engineering 2B",이제찬,미지정
공과대학,건설환경공학부,"경관생태학 
Landscape Ecology",김민경,"목09:00-10:15【61301A】,목10:30-11:45【61301A】"
공과대학,건설환경공학부,"조경화훼식물학
Landscape Flowering Plants",하유미,"월09:00-10:15【61301A】,월10:30-11:45【61301A】"
공과대학,건설환경공학부,"RC구조물설계
Design of Reinforced Concrete Structure",박선규,"화13:30-14:45【26512】,목12:00-13:15【26512】"
공과대학,건설환경공학부,"조경현장실습2 
Landscape Architecture Field Practice 2",자연과학,일반수업
공과대학,건설환경공학부,"생태복원공학및실습 
Ecological Restoration Engineering and Practice ",정경진,"화15:00-15:50【61301A】,화16:00-16:50【61301A】,화17:00-17:50【61301A】,화18:00-18:50【61301A】,화19:00-19:50【61301A】,화20:00-20:50【61301A】"
공과대학,건설환경공학부,"조경현장실습1 
Landscape Architecture for Co-operative Program 1 ",자연과학,일반수업
공과대학,건설환경공학부,"환경변화와스마트대응기술
Environmental Change and Smart Response Technology",김형수,"화12:00-13:15【26513】,목13:30-14:45【26513】"
