college_name,Department Name,Course Name,Professor,Class Time
성균나노과학기술원,나노과학공학전공,"결정결함론
Advanced Defects in Materials",양철웅,"화12:00-13:15【26311】,목13:30-14:45【26311】"
성균나노과학기술원,나노과학공학전공,"에너지신소재학
Energy Advanced Materials",정현석,"월13:30-14:45【26311】,수12:00-13:15【26311】"
성균나노과학기술원,나노과학공학전공,"신소재프로세스공학
Advanced Materials Process Engineering",정승부,"화13:30-14:45【26108】,목12:00-13:15【26108】"
성균나노과학기술원,나노과학공학전공,"신소재프로세스공학
Advanced Materials Process Engineering",주진호,"월10:30-11:45【26108】,수09:00-10:15【26108】"
성균나노과학기술원,나노과학공학전공,"신소재프로세스공학
Advanced Materials Process Engineering",하마드코티바,"월15:00-16:15【26311】,수16:30-17:45【26311】"
성균나노과학기술원,나노과학공학전공,"재료열역학1
ThermodynamicsⅠ",김명길,"월10:30-11:45【26311】,수09:00-10:15【26311】"
성균나노과학기술원,나노과학공학전공,"재료열역학1
ThermodynamicsⅠ",김윤석,"월12:00-13:15【26311】,수13:30-14:45【26311】"
성균나노과학기술원,나노과학공학전공,"재료열역학1
ThermodynamicsⅠ",최재영,"화10:30-11:45【26311】,목09:00-10:15【26311】"
성균나노과학기술원,나노과학공학전공,"고체물성론
Physics of Engineering Materials",이재찬,"월16:30-17:45【26311】,수15:00-16:15【26311】"
성균나노과학기술원,나노과학공학전공,"산화물전자공학
Oxide Electronics",김한기,"월15:00-16:15【26108】,수16:30-17:45【26108】"
성균나노과학기술원,나노과학공학전공,"상변태학
Phase Transformation",이후정,"월16:30-17:45【26108】,수15:00-16:15【26108】"
성균나노과학기술원,나노과학공학전공,"상변태학
Phase Transformation",이후정,"화15:00-16:15【26311】,목16:30-17:45【26311】"
성균나노과학기술원,나노과학공학전공,"나노신소재
nano-advanced materials",최재영,"화16:30-17:45【26311】,목15:00-16:15【26311】"
성균나노과학기술원,나노과학공학전공,"나노신소재
nano-advanced materials",황동목,"월13:30-14:45【26108】,수12:00-13:15【26108】"
성균나노과학기술원,나노과학공학전공,"반도체공정
Semiconductor device processing",강주훈,"화13:30-14:45【26311】,목12:00-13:15【26311】"
성균나노과학기술원,나노과학공학전공,"반도체공정
Semiconductor device processing",김형섭,"월12:00-13:15【26108】,수13:30-14:45【26108】"
성균나노과학기술원,나노과학공학전공,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】"
