college_name,Department Name,Course Name,Professor,Class Time
성균융합원,글로벌바이오메디컬공학과,"차세대바이오헬스캡스톤디자인
Bio-health Capstone Design",송민경,"수18:00-19:15【62355】,수19:30-20:45【62355】"
성균융합원,글로벌바이오메디컬공학과,"분자세포생물학실험2
Molecular and cellular biology lab class2",조홍백,"화18:00-18:50【32263C】,화19:00-19:50【32263C】,화20:00-20:50【32263C】,화21:00-21:45【32263C】"
성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트1
Convergence Research Project 1",자연과학,일반수업
성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트2
Convergence Research Project 2",자연과학,일반수업
성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트3
Convergence Research Project 3",자연과학,일반수업
성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트4
Convergence Research Project 4",자연과학,일반수업
성균융합원,글로벌바이오메디컬공학과,"영상처리
Image Processing",박현진,"화12:00-13:15【85777】,화13:30-14:45【85777】"
성균융합원,글로벌바이오메디컬공학과,"BME공학수학Ⅱ
BME Engineering MathematicsⅡ",박장연,"월12:00-13:15【86120】,수13:30-14:45【86120】"
성균융합원,글로벌바이오메디컬공학과,"BME신경과학
BME NeuroScience",서민아,"금15:00-16:15【86102】,금16:30-17:45【86102】"
성균융합원,글로벌바이오메디컬공학과,"의공학세미나
Special Topics in Biomedical Engineering",손한샘,"금12:00-12:50【86102】,금13:00-13:50【86102】"
성균융합원,글로벌바이오메디컬공학과,"기초의공학실험
Introductory Biomedical Engineering Lab",이준열,"금12:00-12:50【81525】,금13:00-13:50【81525】,금14:00-14:50【81525】,금15:00-15:50【81525】,금16:00-16:50【81525】,금17:00-17:50【81525】"
성균융합원,글로벌바이오메디컬공학과,"기초의공학실험
Introductory Biomedical Engineering Lab",김형구,"수09:00-09:50【81525】,수10:00-10:50【81525】,수11:00-11:50【81525】,수12:00-12:50【81525】,수13:00-13:50【81525】,수14:00-14:50【81525】"
성균융합원,글로벌바이오메디컬공학과,"기초생체재료학
Fundamentals of Biomaterials",박천권,"화09:00-10:15【86120】,화10:30-11:45【86120】"
성균융합원,글로벌바이오메디컬공학과,"의용회로이론
Circuit Theory for Biomedical Engineering",박진형,"화15:00-16:15【86102】,목16:30-17:45【86102】"
성균융합원,글로벌바이오메디컬공학과,"고급의공학실험Ⅱ
Advanced BME LabⅡ",이준열,"수18:00-18:50【미지정】,수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】,수21:45-22:30【미지정】,수22:30-23:15【미지정】"
성균융합원,글로벌바이오메디컬공학과,"연구참여
Thesis Research for BME",이준열,미지정
성균융합원,글로벌바이오메디컬공학과,"바이오프로그래밍과머신러닝
Introduction to matlab programing and machine learning",이준열,"월13:30-14:45【86103】,수12:00-13:15【86103】"
성균융합원,글로벌바이오메디컬공학과,"고급생체재료화학
Advanced Biomaterial Chemistry",신미경,"수09:00-10:15【86102】,수10:30-11:45【86102】"
성균융합원,글로벌바이오메디컬공학과,"바이오데이터마이닝
biodatamining",홍석준,"금12:00-13:15【86120】,금13:30-14:45【86120】"
성균융합원,글로벌바이오메디컬공학과,"세포공학개론
Fundamentals of cell engineering",이정승,"월15:00-16:15【86102】,수16:30-17:45【86102】"
성균융합원,글로벌바이오메디컬공학과,"바이오메디컬종합설계
Biomedical Material Capstone Design",이정승,"화18:00-18:50【86206】,화19:00-19:50【86206】,화20:00-20:50【86206】,목18:00-18:50【86206】,목19:00-19:50【86206】,목20:00-20:50【86206】"
성균융합원,글로벌바이오메디컬공학과,"의용전자기학
BME Electromagnetic Theory",박한규,"화16:30-17:45【86102】,목15:00-16:15【86102】"
성균융합원,글로벌바이오메디컬공학과,"BME고급의료영상
BME Advanced Medical Imaging",박장연,"목15:00-16:15【86120】,목16:30-17:45【86120】"
성균융합원,글로벌바이오메디컬공학과,"휴먼레벨인공지능개론
Introduction to Human-level Artificial intelligence",홍석준,"금09:00-10:15【86102】,금10:30-11:45【86102】"
성균융합원,글로벌바이오메디컬공학과,"고급통계와응용
Advanced Statistics and Applications",손한샘,"월12:00-13:15【86102】,월13:30-14:45【86102】"
성균융합원,글로벌바이오메디컬공학과,"계산신경과학입문
Introduction to Computational Neuroscience",유승범,"월16:30-17:45【86102】,수15:00-16:15【86102】"
성균융합원,글로벌바이오메디컬공학과,"생체재료기기분석
Biomaterials Instrumental Analysis",신미경,"월15:00-16:15【86126】,월16:30-17:45【86126】"
성균융합원,글로벌바이오메디컬공학과,"바이오공정공학
Bioprocess Engineering",권대혁,"월15:00-16:15【62355】,수16:30-17:45【62355】"
성균융합원,글로벌바이오메디컬공학과,"의사결정신경과학최신경향
Recent advancements in systems neuroscience focusing on decision making",김형구,"월09:00-10:15【86102】,월10:30-11:45【86102】"
성균융합원,글로벌바이오메디컬공학과,"정밀의료를위한초음파변환자원리
Ultrasound transducers for precise medicine",박진형,"수15:00-16:15【86106】,수16:30-17:45【86106】"
성균융합원,글로벌바이오메디컬공학과,"연구논문작성기법
Technical Writing for Research Papers",조한상,"월15:00-16:15【86106】,월16:30-17:45【86106】"
성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】"
성균융합원,글로벌바이오메디컬공학과,"정서신경과학개론
Affective Neuroscience Basics",우충완,"월18:00-19:15【86102】,월19:30-20:45【86102】"
성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】"
성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】"
성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】"
성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】"
성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】"
성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】"
성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】"
성균융합원,데이터사이언스융합전공,"융합연구프로젝트1
Convergence Research Project 1",자연과학,일반수업
성균융합원,데이터사이언스융합전공,"융합연구프로젝트2
Convergence Research Project 2",자연과학,일반수업
성균융합원,데이터사이언스융합전공,"융합연구프로젝트3
Convergence Research Project 3",자연과학,일반수업
성균융합원,데이터사이언스융합전공,"융합연구프로젝트4
Convergence Research Project 4",자연과학,일반수업
성균융합원,데이터사이언스융합전공,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】"
성균융합원,에너지과학연계전공,"융합연구프로젝트1
Convergence Research Project 1",자연과학,일반수업
성균융합원,에너지과학연계전공,"융합연구프로젝트2
Convergence Research Project 2",자연과학,일반수업
성균융합원,에너지과학연계전공,"융합연구프로젝트3
Convergence Research Project 3",자연과학,일반수업
성균융합원,에너지과학연계전공,"융합연구프로젝트4
Convergence Research Project 4",자연과학,일반수업
성균융합원,에너지과학연계전공,"에너지신소재학
Energy Advanced Materials",정현석,"월13:30-14:45【26311】,수12:00-13:15【26311】"
성균융합원,에너지과학연계전공,"에너지전기화학
Electrochemistry in Development of Energy Materials",문준영,"화09:00-10:15【26311】,목10:30-11:45【26311】"
성균융합원,에너지과학연계전공,"에너지공학
Energy Engineering",한귀영,"화09:00-10:15【26308】,목10:30-11:45【26308】"
성균융합원,에너지과학연계전공,"에너지공학
Energy Engineering",박남규,"화15:00-16:15【26308】,목16:30-17:45【26308】"
성균융합원,에너지과학연계전공,"물리전자
Physical Electronics",김용상,"화09:00-10:15【22409】,목10:30-11:45【22409】"
