class_code,college_name,department_name,course_name,professor,class_time,class_type
BBC3003-41,성균융합원,글로벌바이오메디컬공학과,"차세대바이오헬스캡스톤디자인
Bio-health Capstone Design",송민경,"수18:00-19:15【62355】,수19:30-20:45【62355】",일반수업
BIO2017-41,성균융합원,글로벌바이오메디컬공학과,"분자세포생물학실험2
Molecular and cellular biology lab class2",조홍백,"화18:00-18:50【32263C】,화19:00-19:50【32263C】,화20:00-20:50【32263C】,화21:00-21:45【32263C】",일반수업
COV3018-41,성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트1
Convergence Research Project 1",자연과학,일반수업,일반수업
COV3019-41,성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트2
Convergence Research Project 2",자연과학,일반수업,일반수업
COV3020-41,성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트3
Convergence Research Project 3",자연과학,일반수업,일반수업
COV3021-41,성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트4
Convergence Research Project 4",자연과학,일반수업,일반수업
ECE4270-41,성균융합원,글로벌바이오메디컬공학과,"영상처리
Image Processing",박현진,"화12:00-13:15【85777】,화13:30-14:45【85777】",국제어수업
GBE2028-41,성균융합원,글로벌바이오메디컬공학과,"BME공학수학Ⅱ
BME Engineering MathematicsⅡ",박장연,"월12:00-13:15【86120】,수13:30-14:45【86120】",국제어수업
GBE2034-41,성균융합원,글로벌바이오메디컬공학과,"BME신경과학
BME NeuroScience",서민아,"금15:00-16:15【86102】,금16:30-17:45【86102】",국제어수업
COV3020-41,성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트3
Convergence Research Project 3",자연과학,일반수업,
COV3021-41,성균융합원,글로벌바이오메디컬공학과,"융합연구프로젝트4
Convergence Research Project 4",자연과학,일반수업,
ECE4270-41,성균융합원,글로벌바이오메디컬공학과,"영상처리
Image Processing",박현진,"화12:00-13:15【85777】,화13:30-14:45【85777】",국제어수업
GBE2028-41,성균융합원,글로벌바이오메디컬공학과,"BME공학수학Ⅱ
BME Engineering MathematicsⅡ",박장연,"월12:00-13:15【86120】,수13:30-14:45【86120】",국제어수업
GBE2033-41,성균융합원,글로벌바이오메디컬공학과,"기초의공학실험
Introductory Biomedical Engineering Lab",이준열,"금12:00-12:50【81525】,금13:00-13:50【81525】,금14:00-14:50【81525】,금15:00-15:50【81525】,금16:00-16:50【81525】,금17:00-17:50【81525】",일반수업
GBE2033-42,성균융합원,글로벌바이오메디컬공학과,"기초의공학실험
Introductory Biomedical Engineering Lab",김형구,"수09:00-09:50【81525】,수10:00-10:50【81525】,수11:00-11:50【81525】,수12:00-12:50【81525】,수13:00-13:50【81525】,수14:00-14:50【81525】",일반수업
GBE2034-41,성균융합원,글로벌바이오메디컬공학과,"BME신경과학
BME NeuroScience",서민아,"금15:00-16:15【86102】,금16:30-17:45【86102】",국제어수업
GBE2037-41,성균융합원,글로벌바이오메디컬공학과,"의공학세미나
Special Topics in Biomedical Engineering",손한샘,"금12:00-12:50【86102】,금13:00-13:50【86102】",국제어수업
GBE2038-41,성균융합원,글로벌바이오메디컬공학과,"기초생체재료학
Fundamentals of Biomaterials",박천권,"화09:00-10:15【86120】,화10:30-11:45【86120】",국제어수업
GBE2039-41,성균융합원,글로벌바이오메디컬공학과,"의용회로이론
Circuit Theory for Biomedical Engineering",박진형,"화15:00-16:15【86102】,목16:30-17:45【86102】",국제어수업
GBE3039-41,성균융합원,글로벌바이오메디컬공학과,"고급의공학실험Ⅱ
Advanced BME LabⅡ",이준열,"수18:00-18:50【미지정】,수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】,수21:45-22:30【미지정】,수22:30-23:15【미지정】",일반수업
GBE2033-41,성균융합원,글로벌바이오메디컬공학과,"기초의공학실험
Introductory Biomedical Engineering Lab",이준열,"금12:00-12:50【81525】,금13:00-13:50【81525】,금14:00-14:50【81525】,금15:00-15:50【81525】,금16:00-16:50【81525】,금17:00-17:50【81525】",일반수업
