college_name,Department Name,Course Name,Professor,Class Time
소프트웨어대학,소프트웨어학과,"자연어처리개론
Natural Language Processing Fundamentals",정윤경,"월15:00-16:15【26223】,수16:30-17:45【26223】"
소프트웨어대학,소프트웨어학과,"컴퓨터공학세미나
Seminar in Computer Engineering",우홍욱,"월15:00-15:50【330110】,수17:00-17:50【330110】"
소프트웨어대학,소프트웨어학과,"신호및시스템
Signals and Systems",정민영,"월09:00-10:15【21502】,수10:30-11:45【21502】"
소프트웨어대학,소프트웨어학과,"디지털신호처리
Digital Signal Processing",전병우,"화12:00-13:15【22211】,목13:30-14:45【22211】"
소프트웨어대학,소프트웨어학과,"통신시스템
Communication Systems",김상효,"월12:00-13:15【21514】,수13:30-14:45【21514】"
소프트웨어대학,소프트웨어학과,"컴퓨터네트워크개론
Introduction to Computer Networks",신지태,"화15:00-16:15【21502】,목16:30-17:45【21502】"
소프트웨어대학,소프트웨어학과,"동역학
Dynamics",구자춘,"월15:00-16:15【22319】,수16:30-17:45【22319】"
소프트웨어대학,소프트웨어학과,"동역학
Dynamics",구자춘,"월16:30-17:45【22319】,수15:00-16:15【22319】"
소프트웨어대학,소프트웨어학과,"Computer Aided Engineering
Computer Aided Engineering",김문기,"월10:30-11:45【22312】,수09:00-10:15【22312】"
소프트웨어대학,소프트웨어학과,"기술경영개론
Introduction to Management of Technology",조근태,"금15:00-16:15【26223】,금16:30-17:45【26223】"
소프트웨어대학,소프트웨어학과,"계측공학
Measurement Engineering",석지원,"화09:00-10:15【22310】,목10:30-11:45【22310】"
소프트웨어대학,소프트웨어학과,"제어공학
Automatic Control Systems",김종현,"월12:00-13:15【22312】,수13:30-14:45【22312】"
소프트웨어대학,소프트웨어학과,"기술경영개론
Introduction to Management of Technology",조근태,"목18:00-19:15【27511】,목19:30-20:45【27511】"
소프트웨어대학,소프트웨어학과,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】"
소프트웨어대학,소프트웨어학과,"생산관리
Operations Management",권대일,"목09:00-10:15【23219】,목10:30-11:45【23219】"
소프트웨어대학,소프트웨어학과,"CAD/제품정보관리및실습
CAD/Product Data Management",노상도,"화09:00-10:15【26513】,화10:30-11:45【26513】"
소프트웨어대학,소프트웨어학과,"논리회로
Logic Circuits",유재천,"화12:00-13:15【22409】,목13:30-14:45【22409】"
소프트웨어대학,소프트웨어학과,"가상현실론
Virtual Reality Theory",이성길,"월12:00-13:15【26307】,월13:30-14:45【26307】"
소프트웨어대학,소프트웨어학과,"디지털헬스케어보안세미나
Seminar In Digital Healthcare Security",김선우,목17:00-17:50【26312】
소프트웨어대학,소프트웨어학과,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】"
