class_code,college_name,department_name,course_name,professor,class_time,class_type
COV3018-41,소프트웨어융합대학,데이터사이언스융합전공,"융합연구프로젝트1
Convergence Research Project 1",자연과학,일반수업,
COV3019-41,소프트웨어융합대학,데이터사이언스융합전공,"융합연구프로젝트2
Convergence Research Project 2",자연과학,일반수업,
COV3020-41,소프트웨어융합대학,데이터사이언스융합전공,"융합연구프로젝트3
Convergence Research Project 3",자연과학,일반수업,
COV3021-41,소프트웨어융합대학,데이터사이언스융합전공,"융합연구프로젝트4
Convergence Research Project 4",자연과학,일반수업,
ERC3011-41,소프트웨어융합대학,데이터사이언스융합전공,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】",
SWE2015-41,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",염익준,"월09:00-10:15【23217】,수10:30-11:45【23217】",
SWE2015-42,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",이진규,"화09:00-10:15【26312】,목10:30-11:45【26312】",
SWE2015-43,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",나브라티색서나,"수09:00-10:15【미지정】,수10:30-11:45【미지정】",
SWE2016-43,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",조대호,"화13:30-14:45【26310】,목12:00-13:15【26310】",
SWE3050-41,소프트웨어융합대학,데이터사이언스융합전공,"기계학습원론
Fundamentals of machine learning",이종욱,"월13:30-14:45【26515】,수12:00-13:15【26515】",
ERC3011-41,소프트웨어융합대학,데이터사이언스융합전공,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】",
SWE2015-41,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",염익준,"월09:00-10:15【23217】,수10:30-11:45【23217】",
SWE2015-42,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",이진규,"화09:00-10:15【26312】,목10:30-11:45【26312】",
SWE2015-43,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",나브라티색서나,"수09:00-10:15【미지정】,수10:30-11:45【미지정】",
SWE2016-41,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",추현승,"월10:30-11:45【26312】,수09:00-10:15【26312】",
SWE2016-42,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",김형식,"월10:30-11:45【26310】,수09:00-10:15【26310】",
SWE2016-43,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",조대호,"화13:30-14:45【26310】,목12:00-13:15【26310】",
SWE3050-41,소프트웨어융합대학,데이터사이언스융합전공,"기계학습원론
Fundamentals of machine learning",이종욱,"월13:30-14:45【26515】,수12:00-13:15【26515】",
SWE3052-41,소프트웨어융합대학,데이터사이언스융합전공,"심층신경망개론
Introduction to Deep Neural Networks",이지형,"월10:30-11:45【26223】,수09:00-10:15【26223】",
SWE2015-41,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",염익준,"월09:00-10:15【23217】,수10:30-11:45【23217】",
SWE2015-42,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",이진규,"화09:00-10:15【26312】,목10:30-11:45【26312】",
SWE2015-43,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",나브라티색서나,"수09:00-10:15【미지정】,수10:30-11:45【미지정】",
SWE2016-41,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",추현승,"월10:30-11:45【26312】,수09:00-10:15【26312】",
SWE2016-42,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",김형식,"월10:30-11:45【26310】,수09:00-10:15【26310】",
SWE2016-43,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",조대호,"화13:30-14:45【26310】,목12:00-13:15【26310】",
SWE3050-41,소프트웨어융합대학,데이터사이언스융합전공,"기계학습원론
Fundamentals of machine learning",이종욱,"월13:30-14:45【26515】,수12:00-13:15【26515】",
SWE3052-41,소프트웨어융합대학,데이터사이언스융합전공,"심층신경망개론
Introduction to Deep Neural Networks",이지형,"월10:30-11:45【26223】,수09:00-10:15【26223】",
SWE2015-41,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",염익준,"월09:00-10:15【23217】,수10:30-11:45【23217】",
SWE2015-42,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",이진규,"화09:00-10:15【26312】,목10:30-11:45【26312】",
SWE2015-43,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",나브라티색서나,"수09:00-10:15【미지정】,수10:30-11:45【미지정】",
SWE2016-41,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",추현승,"월10:30-11:45【26312】,수09:00-10:15【26312】",
SWE2016-42,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",김형식,"월10:30-11:45【26310】,수09:00-10:15【26310】",
SWE2016-43,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",조대호,"화13:30-14:45【26310】,목12:00-13:15【26310】",
SWE3050-41,소프트웨어융합대학,데이터사이언스융합전공,"기계학습원론
Fundamentals of machine learning",이종욱,"월13:30-14:45【26515】,수12:00-13:15【26515】",
SWE3052-41,소프트웨어융합대학,데이터사이언스융합전공,"심층신경망개론
Introduction to Deep Neural Networks",이지형,"월10:30-11:45【26223】,수09:00-10:15【26223】",
SWE2015-41,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",염익준,"월09:00-10:15【23217】,수10:30-11:45【23217】",
SWE2015-42,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",이진규,"화09:00-10:15【26312】,목10:30-11:45【26312】",
SWE2015-43,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",나브라티색서나,"수09:00-10:15【미지정】,수10:30-11:45【미지정】",
SWE2016-41,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",추현승,"월10:30-11:45【26312】,수09:00-10:15【26312】",
SWE2016-42,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",김형식,"월10:30-11:45【26310】,수09:00-10:15【26310】",
SWE2016-43,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",조대호,"화13:30-14:45【26310】,목12:00-13:15【26310】",
SWE3050-41,소프트웨어융합대학,데이터사이언스융합전공,"기계학습원론
Fundamentals of machine learning",이종욱,"월13:30-14:45【26515】,수12:00-13:15【26515】",
SWE3052-41,소프트웨어융합대학,데이터사이언스융합전공,"심층신경망개론
Introduction to Deep Neural Networks",이지형,"월10:30-11:45【26223】,수09:00-10:15【26223】",
SWE2015-41,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",염익준,"월09:00-10:15【23217】,수10:30-11:45【23217】",
SWE2015-42,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",이진규,"화09:00-10:15【26312】,목10:30-11:45【26312】",
SWE2015-43,소프트웨어융합대학,데이터사이언스융합전공,"자료구조개론
Data Structures",나브라티색서나,"수09:00-10:15【미지정】,수10:30-11:45【미지정】",
SWE2016-41,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",추현승,"월10:30-11:45【26312】,수09:00-10:15【26312】",
SWE2016-42,소프트웨어융합대학,데이터사이언스융합전공,"알고리즘개론
Algorithms",김형식,"월10:30-11:45【26310】,수09:00-10:15【26310】",
