class_code,college_name,department_name,course_name,professor,class_time,class_type
IBT3056-41,약학대학,약학과,"바이오공정공학
Bioprocess Engineering",권대혁,"월15:00-16:15【62355】,수16:30-17:45【62355】",일반수업
IPS5006-41,약학대학,약학과,"시판후안전성관리론
Pharmacovigilance",신선미,"토14:00-14:50【530254】,토15:00-15:50【530254】,토16:00-16:50【530254】",일반수업
PHR2007-41,약학대학,약학과,"약품생화학2
Pharmaceutical Biochemistry 2",이민규,"수14:00-14:50【530150】,수15:00-15:50【530150】",일반수업
PHR2008-41,약학대학,약학과,"약품미생물학1
Pharmaceutical Microbiology 1",이원식,"화13:00-13:50【530150】,화14:00-14:50【530150】,화15:00-15:50【530150】",일반수업
PHR2011-41,약학대학,약학과,"생약학2
Pharmacognosy 2",김충섭,"월10:00-10:50【530150】,월11:00-11:50【530150】",일반수업
PHR2011-42,약학대학,약학과,"생약학2
Pharmacognosy 2",김기현,"금10:00-10:50【530150】,금11:00-11:50【530150】",일반수업
PHR2012-41,약학대학,약학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,약학대학,약학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2013-42,약학대학,약학과,"생물약제학
Biopharmaceutics",정지훈,"수15:00-15:50【530154】,수16:00-16:50【530154】,수17:00-17:50【530154】",국제어수업
PHR2014-41,약학대학,약학과,"물리약학
Physical Pharmacy",신범수,"금14:00-14:50【530150】,금15:00-15:50【530150】,금16:00-16:50【530150】,금17:00-17:50【530150】",일반수업
PHR2011-41,약학대학,약학과,"생약학2
Pharmacognosy 2",김충섭,"월10:00-10:50【530150】,월11:00-11:50【530150】",일반수업
PHR2011-42,약학대학,약학과,"생약학2
Pharmacognosy 2",김기현,"금10:00-10:50【530150】,금11:00-11:50【530150】",일반수업
PHR2012-41,약학대학,약학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,약학대학,약학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,약학대학,약학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR2013-41,약학대학,약학과,"생물약제학
Biopharmaceutics",정지훈,"월09:00-10:15【530254】,월10:30-11:45【530254】",국제어수업
PHR2013-42,약학대학,약학과,"생물약제학
Biopharmaceutics",정지훈,"수15:00-15:50【530154】,수16:00-16:50【530154】,수17:00-17:50【530154】",국제어수업
PHR2014-41,약학대학,약학과,"물리약학
Physical Pharmacy",신범수,"금14:00-14:50【530150】,금15:00-15:50【530150】,금16:00-16:50【530150】,금17:00-17:50【530150】",일반수업
PHR2015-41,약학대학,약학과,"병태생리학
Pathophysiology",이효종,"수10:00-10:50【530150】,수11:00-11:50【530150】,목10:00-10:50【530150】,목11:00-11:50【530150】",일반수업
PHR2020-41,약학대학,약학과,"의약화학
Medicinal Chemistry",박현주,"수10:00-10:50【530254】,수11:00-11:50【530254】,수12:00-12:50【530254】",일반수업
PHR2020-42,약학대학,약학과,"의약화학
Medicinal Chemistry",박현주,"금10:00-10:50【530254】,금11:00-11:50【530254】,금12:00-12:50【530254】",일반수업
PHR2022-41,약학대학,약학과,"독성학
Toxicology",김형식,"화10:00-10:50【530154】,화11:00-11:50【530154】,화12:00-12:50【530154】",일반수업
PHR2012-43,약학대학,약학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR2013-41,약학대학,약학과,"생물약제학
Biopharmaceutics",정지훈,"월09:00-10:15【530254】,월10:30-11:45【530254】",국제어수업
PHR2034-41,약학대학,약학과,"의약품합성학1
Pharmaceutical Synthetic Chemistry1",김인수,"월14:00-14:50【530150】,월15:00-15:50【530150】,월16:00-16:50【530150】",일반수업
PHR2020-41,약학대학,약학과,"의약화학
Medicinal Chemistry",박현주,"수10:00-10:50【530254】,수11:00-11:50【530254】,수12:00-12:50【530254】",일반수업
PHR2020-42,약학대학,약학과,"의약화학
Medicinal Chemistry",박현주,"금10:00-10:50【530254】,금11:00-11:50【530254】,금12:00-12:50【530254】",일반수업
PHR2022-41,약학대학,약학과,"독성학
Toxicology",김형식,"화10:00-10:50【530154】,화11:00-11:50【530154】,화12:00-12:50【530154】",일반수업
PHR2024-41,약학대학,약학과,"예방약학2
Hygienic and Preventive Pharmacy 2",이상규,"월12:00-12:50【530254】,월13:00-13:50【530254】",일반수업
PHR2026-41,약학대학,약학과,"약제학2
Pharmaceutics 2",윤유석,"목10:00-10:50【530154】,목11:00-11:50【530154】",일반수업
PHR2027-41,약학대학,약학과,"약물동력학
Pharmacokinetics",신범수,"월16:00-16:50【530254】,월17:00-17:50【530254】,월18:00-18:50【530254】",일반수업
PHR2029-41,약학대학,약학과,"약리학2
Pharmacology 2",이석용,"화14:00-14:50【530154】,화15:00-15:50【530154】",일반수업
PHR2034-41,약학대학,약학과,"의약품합성학1
Pharmaceutical Synthetic Chemistry1",김인수,"월14:00-14:50【530150】,월15:00-15:50【530150】,월16:00-16:50【530150】",일반수업
PHR2038-41,약학대학,약학과,"유기약화학
Organic Pharmaceutical Chemistry",권용석,"화15:00-15:50【530250】,화16:00-16:50【530250】,수15:00-15:50【530250】,수16:00-16:50【530250】",일반수업
PHR2040-41,약학대학,약학과,"약품분석학2
Pharmaceutical analysis 2",김선조,"목16:00-16:50【530250】,목17:00-17:50【530250】",일반수업
PHR2042-41,약학대학,약학과,"의약생물정보학
Biomedical Data Science",김훈,"화13:30-14:45【530250】,목12:00-13:15【530250】",일반수업
