class_code,college_name,department_name,course_name,professor,class_time,class_type
MED2028-41,의과대학,의예과,"인체대사와세포조절및실험
Cell Biology Part and Human Metabolism and Experiments",안지인,"화09:00-09:50【711112】,화10:00-10:50【711112】,화11:00-11:50【711112】,금09:00-09:50【711112】,금10:00-10:50【711112】",일반수업
MED2031-41,의과대학,의예과,"인체의구조와발생
Structure and Development of Human Body",김문영,"수09:00-09:50【711112】,수10:00-10:50【711112】,수11:00-11:50【711112】,금13:00-13:50【711112】,금14:00-14:50【711112】",일반수업
MED2032-41,의과대학,의예과,"인체의미세구조와기능
Microscopic Structure and Function of Human Body",주경민,"수13:00-13:50【711112】,수14:00-14:50【711112】,수15:00-15:50【711112】",일반수업
MED2033-41,의과대학,의예과,"인체의기능
Human Physiology",박명규,"월13:00-13:50【711112】,월14:00-14:50【711112】,목09:00-09:50【711112】,목10:00-10:50【711112】",일반수업
MED2035-41,의과대학,의예과,"인문과인간
A Journey to Understanding Human Being",주경민,"월15:00-15:50【711101】,월16:00-16:50【711101】",일반수업
MED2037-41,의과대학,의예과,"인문과삶
A Journey to Understanding Human Life",성지동,"목13:00-13:50【711112】,목14:00-14:50【711112】",일반수업
MED3069-41,의과대학,의학과,"기초의학종합평가
Basic Medical Science Examination",박재현,월20:00-20:50【미지정】,일반수업
MED3073-41,의과대학,의학과,"환자와의사1
Patient-Doctor 1",전경만,"월11:00-11:50【711127】,월12:00-12:50【711127】",일반수업
MED3095-41,의과대학,의학과,"필수학생연구2
Scholarly Project 2",자연과학,일반수업,일반수업
MED3096-41,의과대학,의학과,"내과학실습
Internal Medicine Clerkship",이준혁,"월09:00-09:50【미지정】,월10:00-10:50【미지정】,월11:00-11:50【미지정】,월12:00-12:50【미지정】,월13:00-13:50【미지정】,월14:00-14:50【미지정】,월15:00-15:50【미지정】,월16:00-16:50【미지정】,월17:00-17:50【미지정】,월18:00-18:50【미지정】,",일반수업
MED3099-41,의과대학,의학과,"산부인과학실습
Obstetrics and Gynecology Clerkship",오수영,"수11:00-11:50【미지정】,수12:00-12:50【미지정】,수13:00-13:50【미지정】,수14:00-14:50【미지정】,수15:00-15:50【미지정】,수16:00-16:50【미지정】,수17:00-17:50【미지정】,수18:00-18:50【미지정】",일반수업
MED3100-41,의과대학,의학과,"소아청소년과학실습
Pediatrics Clerkship",허준,"수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】,수21:45-22:30【미지정】,수22:30-23:15【미지정】,목08:00-08:50【미지정】,목09:00-09:50【미지정】,목10:00-10:50【미지정】",일반수업
MED3101-41,의과대학,의학과,"신경과학실습
Neurologic Clerkship",김경문,"목11:00-11:50【미지정】,목12:00-12:50【미지정】,목13:00-13:50【미지정】,목14:00-14:50【미지정】,목15:00-15:50【미지정】,목16:00-16:50【미지정】,목17:00-17:50【미지정】,목18:00-18:50【미지정】",일반수업
MED3104-41,의과대학,의학과,"정신건강의학과학실습
Psychiatry Clerkship",정유숙,"금11:00-11:50【미지정】,금12:00-12:50【미지정】,금13:00-13:50【미지정】,금14:00-14:50【미지정】,금15:00-15:50【미지정】,금16:00-16:50【미지정】,금17:00-17:50【미지정】,금18:00-18:50【미지정】",일반수업
