college_name,Department Name,Course Name,Professor,Class Time
자연과학대학,물리학과,"회로이론1
Circuit Theory I",홍병유,"월13:30-14:45【22410】,수12:00-13:15【22410】"
자연과학대학,물리학과,"회로이론2
Circuit Theory II",홍병유,"화10:30-11:45【22410】,목09:00-10:15【22410】"
자연과학대학,물리학과,"회로이론2
Circuit Theory II",홍광석,"화10:30-11:45【26515】,목09:00-10:15【26515】"
자연과학대학,물리학과,"회로이론2
Circuit Theory II",이명현,"화10:30-11:45【22110】,목09:00-10:15【22110】"
자연과학대학,물리학과,"회로이론2
Circuit Theory II",이병국,"화10:30-11:45【22409】,목09:00-10:15【22409】"
자연과학대학,물리학과,"회로이론2
Circuit Theory II",손동희,"화10:30-11:45【미지정】,목09:00-10:15【미지정】"
자연과학대학,물리학과,"회로이론2
Circuit Theory II",전종욱,"금09:00-10:15【21514】,금10:30-11:45【21514】"
자연과학대학,물리학과,"선형대수
Matrix Theory",천기상,"금12:00-13:15【31316】,금13:30-14:45【31316】"
자연과학대학,물리학과,"기초물리학실험2
Basic Physics Laboratory Ⅱ",정동근,"토09:00-09:50【32352】,토10:00-10:50【32352】,토11:00-11:50【32352】,토12:00-12:50【32352】"
자연과학대학,물리학과,"수리물리학2
Mathematical Physics Ⅱ",최기영,"월16:30-17:45【31214】,수15:00-16:15【31214】"
자연과학대학,물리학과,"자연과학과인문학
Natural Sciences and the Humanities",김범준,"금15:00-16:15【32255】,금16:30-17:45【32255】"
자연과학대학,물리학과,"일반역학2
Classical Mechanics Ⅱ",최광용,"화15:00-16:15【31214】,목16:30-17:45【31214】"
자연과학대학,물리학과,"전자기학1
Electromagnetism Ⅰ",강대준,"화16:30-17:45【31214】,목15:00-16:15【31214】"
자연과학대학,물리학과,"전자기학1연습
Exercise for Electricity and Magnetism 1",강대준,"화11:00-11:50【61208】,화12:00-12:50【61208】"
자연과학대학,물리학과,"열및통계물리1
Thermal and Statistical Physics Ⅰ",김범준,"월09:00-10:15【31214】,수10:30-11:45【31214】"
자연과학대학,물리학과,"양자역학2
Quantum Mechanics Ⅱ",유인태,"월12:00-13:15【31214】,수13:30-14:45【31214】"
자연과학대학,물리학과,"과학교육론
Theory of Science Education",최윤성,"금18:00-19:15【31214】,금19:30-20:45【31214】"
자연과학대학,물리학과,"전자물리학실험2
Electronic Physics Laboratory Ⅱ",이명재,"토13:00-13:50【31352】,토14:00-14:50【31352】,토15:00-15:50【31352】,토16:00-16:50【31352】"
자연과학대학,물리학과,"고급물리학실험2
Advanced Physics Laboratory Ⅱ",최광용,"토17:00-17:50【31214】,토18:00-18:50【31214】,토19:00-19:50【31214】,토20:00-20:50【31214】"
자연과학대학,물리학과,"입자물리학
Particle Physics",유인태,"월13:30-14:45【31214】,수12:00-13:15【31214】"
