class_code,college_name,department_name,course_name,professor,class_time,class_type
EEE2006-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"물리전자
Physical Electronics",이재형,"화09:00-10:15【22211】,목10:30-11:45【22211】",일반수업
EEE2006-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"물리전자
Physical Electronics",김길호,"화09:00-10:15【22110】,목10:30-11:45【22110】",일반수업
EEE2006-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"물리전자
Physical Electronics",김용상,"화09:00-10:15【22409】,목10:30-11:45【22409】",일반수업
EEE2006-44,정보통신대학,반도체소자회로설계및시스템 융합트랙,"물리전자
Physical Electronics",유우종,"화09:00-10:15【22410】,목10:30-11:45【22410】",일반수업
EEE2006-45,정보통신대학,반도체소자회로설계및시스템 융합트랙,"물리전자
Physical Electronics",송장근,"화09:00-10:15【21502】,목10:30-11:45【21502】",국제어수업
EEE2007-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"반도체공학
Semiconductor Electronics",노용한,"화10:30-11:45【21502】,목09:00-10:15【21502】",일반수업
EEE2007-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"반도체공학
Semiconductor Electronics",이준신,"화16:30-17:45【22110】,목15:00-16:15【22110】",국제어수업
EEE2007-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"반도체공학
Semiconductor Electronics",이재형,"화10:30-11:45【22312】,목09:00-10:15【22312】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
EEE2006-45,정보통신대학,반도체소자회로설계및시스템 융합트랙,"물리전자
Physical Electronics",송장근,"화09:00-10:15【21502】,목10:30-11:45【21502】",국제어수업
EEE2007-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"반도체공학
Semiconductor Electronics",노용한,"화10:30-11:45【21502】,목09:00-10:15【21502】",일반수업
EEE2007-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"반도체공학
Semiconductor Electronics",이준신,"화16:30-17:45【22110】,목15:00-16:15【22110】",국제어수업
EEE2007-43,정보통신대학,반도체소자회로설계및시스템 융합트랙,"반도체공학
Semiconductor Electronics",이재형,"화10:30-11:45【22312】,목09:00-10:15【22312】",일반수업
EEE2011-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"회로이론1
Circuit Theory I",홍병유,"월13:30-14:45【22410】,수12:00-13:15【22410】",일반수업
EEE2013-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",최병덕,"화13:30-14:45【22410】,목12:00-13:15【22410】",일반수업
EEE2013-42,정보통신대학,반도체소자회로설계및시스템 융합트랙,"전자회로1
Electronic Circuits I",유관호,"월13:30-14:45【22409】,수12:00-13:15【22409】",국제어수업
ICE2001-41,정보통신대학,반도체소자회로설계및시스템 융합트랙,"논리회로
Logic Circuits",박종구,"월12:00-13:15【22410】,수13:30-14:45【22410】",일반수업
