class_code,college_name,department_name,course_name,professor,class_time,class_type,class_room,class_time_number
ADD2006-41,공과대학,건설환경공학부,"서양건축사
History of Western Architecture",이현정,"목09:00-10:15【21514】,목10:30-11:45【21514】",일반수업,21514,"4_09001015, 4_10301145"
ADD3009-41,공과대학,건설환경공학부,"건축법규
Building Code and Regulation",신중진,"화09:00-10:15【27511】,화10:30-11:45【27511】",일반수업,27511,"2_09001015, 2_10301145"
ADD3018-41,공과대학,건설환경공학부,"동양건축사
History of East Asian Architecture",우성훈,"월18:00-19:15【22319】,월19:30-20:45【22319】",일반수업,22319,"1_18001915, 1_19302045"
ADD3025-41,공과대학,건설환경공학부,"건축설비
Building Environmental Control ",심지수,"화09:00-10:15【23219】,화10:30-11:45【23219】",일반수업,23219,"2_09001015, 2_10301145"
ADD3028-41,공과대학,건설환경공학부,"건축설계현장실습2A
Practical Training 2A of Architectural Design",이중원,미지정,일반수업,,미지정
ADD3029-41,공과대학,건설환경공학부,"건축설계현장실습2B
Practical Training 2B of Architectural Design",이중원,미지정,일반수업,,미지정
ADD4013-41,공과대학,건설환경공학부,"현대건축론2
Contemporary Architecture 2",이중원,"월09:00-10:15【22402】,월10:30-11:45【22402】",국제어수업,22402,"1_09001015, 1_10301145"
CAL2002-41,공과대학,건설환경공학부,"구조역학
Structural Analysis",이정윤,"화13:30-14:45【22319】,목12:00-13:15【22319】",일반수업,22319,"2_13301445, 4_12001315"
CAL2008-41,공과대학,건설환경공학부,"건축환경공학2
Building Environmental Engineering II ",송두삼,"월09:00-10:15【26223】,수10:30-11:45【26223】",일반수업,26223,"1_09001015, 3_10301145"
CAL2009-41,공과대학,건설환경공학부,"건축공학설계1
Architectural Engineering Design I",진상윤,"화18:00-18:50【22402】,화19:00-19:50【22402】,화20:00-20:50【22402】,목18:00-18:50【22402】,목19:00-19:50【22402】,목20:00-20:50【22402】",일반수업,22402,"2_18001850, 2_19001950, 2_20002050, 4_18001850, 4_19001950, 4_20002050"
ADD3028-41,공과대학,건설환경공학부,"건축설계현장실습2A
Practical Training 2A of Architectural Design",이중원,미지정,일반수업,,미지정
ADD3029-41,공과대학,건설환경공학부,"건축설계현장실습2B
Practical Training 2B of Architectural Design",이중원,미지정,일반수업,,미지정
ADD4013-41,공과대학,건설환경공학부,"현대건축론2
Contemporary Architecture 2",이중원,"월09:00-10:15【22402】,월10:30-11:45【22402】",국제어수업,22402,"1_09001015, 1_10301145"
CAL2002-41,공과대학,건설환경공학부,"구조역학
Structural Analysis",이정윤,"화13:30-14:45【22319】,목12:00-13:15【22319】",일반수업,22319,"2_13301445, 4_12001315"
CAL2005-41,공과대학,건설환경공학부,"건축시공및재료2
Building Construction Methods & Materials II ",권순욱,"화09:00-10:15【26110】,화10:30-11:45【26110】",일반수업,26110,"2_09001015, 2_10301145"
CAL2006-41,공과대학,건설환경공학부,"건설관리
Construction Project Management",김예상,"화10:30-11:45【26307】,목09:00-10:15【26307】",일반수업,26307,"2_10301145, 4_09001015"
CAL2008-41,공과대학,건설환경공학부,"건축환경공학2
Building Environmental Engineering II ",송두삼,"월09:00-10:15【26223】,수10:30-11:45【26223】",일반수업,26223,"1_09001015, 3_10301145"
CAL2009-41,공과대학,건설환경공학부,"건축공학설계1
Architectural Engineering Design I",진상윤,"화18:00-18:50【22402】,화19:00-19:50【22402】,화20:00-20:50【22402】,목18:00-18:50【22402】,목19:00-19:50【22402】,목20:00-20:50【22402】",일반수업,22402,"2_18001850, 2_19001950, 2_20002050, 4_18001850, 4_19001950, 4_20002050"
CAL2009-42,공과대학,건설환경공학부,"건축공학설계1
Architectural Engineering Design I",윤성민,"화18:00-18:50【26223】,화19:00-19:50【26223】,화20:00-20:50【26223】,목18:00-18:50【26223】,목19:00-19:50【26223】,목20:00-20:50【26223】",일반수업,26223,"2_18001850, 2_19001950, 2_20002050, 4_18001850, 4_19001950, 4_20002050"
CAL2013-41,공과대학,건설환경공학부,"수리학
Hydraulics",전경수,"월12:00-13:15【26512】,수13:30-14:45【26512】",일반수업,26512,"1_12001315, 3_13301445"
CAL2016-41,공과대학,건설환경공학부,"기초유체역학
Elementary Fluid Mechanics",이정열,"월13:30-14:45【26512】,수12:00-13:15【26512】",일반수업,26512,"1_13301445, 3_12001315"
CAL2005-41,공과대학,건설환경공학부,"건축시공및재료2
Building Construction Methods & Materials II ",권순욱,"화09:00-10:15【26110】,화10:30-11:45【26110】",일반수업,26110,"2_09001015, 2_10301145"
CAL2006-41,공과대학,건설환경공학부,"건설관리
Construction Project Management",김예상,"화10:30-11:45【26307】,목09:00-10:15【26307】",일반수업,26307,"2_10301145, 4_09001015"
CAL2009-42,공과대학,건설환경공학부,"건축공학설계1
Architectural Engineering Design I",윤성민,"화18:00-18:50【26223】,화19:00-19:50【26223】,화20:00-20:50【26223】,목18:00-18:50【26223】,목19:00-19:50【26223】,목20:00-20:50【26223】",일반수업,26223,"2_18001850, 2_19001950, 2_20002050, 4_18001850, 4_19001950, 4_20002050"
CAL2013-41,공과대학,건설환경공학부,"수리학
Hydraulics",전경수,"월12:00-13:15【26512】,수13:30-14:45【26512】",일반수업,26512,"1_12001315, 3_13301445"
CAL2016-41,공과대학,건설환경공학부,"기초유체역학
Elementary Fluid Mechanics",이정열,"월13:30-14:45【26512】,수12:00-13:15【26512】",일반수업,26512,"1_13301445, 3_12001315"
CAL2017-41,공과대학,건설환경공학부,"디지털가상설계
Digital Virual Design",이광명,"화12:00-13:15【26512】,목13:30-14:45【26512】",일반수업,26512,"2_12001315, 4_13301445"
CAL2019-41,공과대학,건설환경공학부,"응용토질역학
Advanced Soil Mechanics",김낙경,"월09:00-10:15【26217A】,수10:30-11:45【26217A】",국제어수업,26217,"1_09001015, 3_10301145"
CAL2021-41,공과대학,건설환경공학부,"응용측량정보학
Advanced Surveying and Practive",윤홍식,"월15:00-15:50【26305】,월16:00-16:50【26305】,월17:00-17:50【26305】,금15:00-15:50【26305】,금16:00-16:50【26305】,금17:00-17:50【26305】",일반수업,26305,"1_15001550, 1_16001650, 1_17001750, 5_15001550, 5_16001650, 5_17001750"
CAL2041-41,공과대학,건설환경공학부,"환경토양학
Environmental Soil Science",하유미,"화12:00-13:15【61301A】,목13:30-14:45【61301A】",일반수업,61301,"2_12001315, 4_13301445"
CAL2075-41,공과대학,건설환경공학부,"공학확률
Probability in Engineering ",심성한,"화16:30-17:45【26305】,목15:00-16:15【26305】",일반수업,26305,"2_16301745, 4_15001615"
CAL2077-41,공과대학,건설환경공학부,"정원설계
Garden Design Studio",최재혁,"금15:00-16:15【61301A】,금16:30-17:45【61301A】",일반수업,61301,"5_15001615, 5_16301745"
CAL3001-41,공과대학,건설환경공학부,"철근콘크리트구조2
Reinforced Concrete Structures II",김진구,"월13:30-14:45【26305】,수12:00-13:15【26305】",일반수업,26305,"1_13301445, 3_12001315"
