class_time,class_code,college_name,department_name,course_name,professor,class_type,class_room,class_time_number
"월10:30-11:45【26223】,수09:00-10:15【26223】",SWE3052-41,생명공학대학,컴바이오믹스연계전공,"심층신경망개론
Introduction to Deep Neural Networks",이지형,국제어수업,26223.0,"1_10301145, 3_09001015"
"월09:00-10:15【26312】,수10:30-11:45【26312】",SWE3002-42,성균융합원,인포매틱스융합전공,"소프트웨어공학개론
Introduction to Software Engineering",차수영,국제어수업,26312.0,"1_09001015, 3_10301145"
"화10:30-11:45【26312】,목09:00-10:15【26312】",SWE3006-42,성균융합원,인공지능융합전공,"프로그래밍언어
Programming Languages",타메르,nan,26312.0,"2_10301145, 4_09001015"
"화18:00-18:50【85712】,화19:00-19:50【85712】,화20:00-20:50【85712】,화21:00-21:45【85712】",SWE3048-42,성균융합원,인포매틱스융합전공,"웹프로그래밍실습
Web Programming Lab",타메르,국제어수업,85712.0,"2_18001850, 2_19001950, 2_20002050, 2_21002145"
"수18:00-18:50【85712】,수19:00-19:50【85712】,수20:00-20:50【85712】,수21:00-21:45【85712】",SWE3048-44,성균융합원,인포매틱스융합전공,"웹프로그래밍실습
Web Programming Lab",타메르,국제어수업,85712.0,"3_18001850, 3_19001950, 3_20002050, 3_21002145"
"월10:30-11:45【26223】,수09:00-10:15【26223】",SWE3052-41,생명공학대학,컴바이오믹스연계전공,"심층신경망개론
Introduction to Deep Neural Networks",이지형,국제어수업,26223.0,"1_10301145, 3_09001015"
"월09:00-10:15【26312】,수10:30-11:45【26312】",SWE3002-42,성균융합원,인포매틱스융합전공,"소프트웨어공학개론
Introduction to Software Engineering",차수영,국제어수업,26312.0,"1_09001015, 3_10301145"
"화18:00-18:50【85712】,화19:00-19:50【85712】,화20:00-20:50【85712】,화21:00-21:45【85712】",SWE3048-42,성균융합원,인포매틱스융합전공,"웹프로그래밍실습
Web Programming Lab",타메르,국제어수업,85712.0,"2_18001850, 2_19001950, 2_20002050, 2_21002145"
"수18:00-18:50【85712】,수19:00-19:50【85712】,수20:00-20:50【85712】,수21:00-21:45【85712】",SWE3048-44,성균융합원,인포매틱스융합전공,"웹프로그래밍실습
Web Programming Lab",타메르,국제어수업,85712.0,"3_18001850, 3_19001950, 3_20002050, 3_21002145"
수17:00-17:50【26310】,SWE2018-41,소프트웨어대학,소프트웨어학과,"산학협력프로젝트2
Industry-Academy Cooperation Project2",황영숙,일반수업,26310.0,3_17001750
"화10:30-11:45【26312】,목09:00-10:15【26312】",SWE3006-42,성균융합원,인공지능융합전공,"프로그래밍언어
Programming Languages",타메르,nan,26312.0,"2_10301145, 4_09001015"
"목18:00-18:50【26308】,목19:00-19:50【26308】,목20:00-20:50【26308】,목21:00-21:45【26308】",SWE3032-41,소프트웨어대학,소프트웨어학과,"인공지능프로젝트
Artificial Intelligence Project",박호건,일반수업,26308.0,"4_18001850, 4_19001950, 4_20002050, 4_21002145"
